0, 	6.327015e-02
1, 	1.227919e-01
2, 	1.663839e-01
3, 	9.769917e-01
4, 	1.475653e-01
5, 	5.622749e-01
6, 	8.482830e-01
7, 	5.622463e-01
8, 	5.071381e-01
9, 	7.062504e-01
10, 	3.557765e-01
11, 	6.980028e-01
12, 	5.727338e-01
13, 	2.674111e-01
14, 	1.941192e-01
15, 	8.700911e-01
16, 	4.414024e-01
17, 	4.619050e-01
18, 	3.930763e-01
19, 	5.299902e-01
20, 	9.126806e-01
21, 	4.033288e-01
22, 	9.714783e-01
23, 	2.364531e-01
24, 	3.113766e-01
25, 	2.059486e-01
26, 	1.618064e-01
27, 	6.327015e-02
28, 	7.624548e-01
29, 	9.105685e-01
30, 	5.236765e-01
31, 	9.646231e-01
32, 	9.570632e-01
33, 	9.814851e-01
34, 	6.480061e-01
35, 	9.651931e-01
36, 	6.919532e-01
37, 	9.190532e-01
38, 	8.905201e-01
39, 	1.580727e-01
40, 	8.803961e-01
41, 	9.580102e-01
42, 	9.589020e-01
43, 	6.203291e-01
44, 	9.867320e-01
45, 	3.271390e-01
46, 	7.836165e-01
47, 	3.169877e-01
48, 	9.825260e-01
49, 	5.986578e-02
50, 	7.511385e-01
51, 	8.512309e-01
52, 	2.454511e-01
53, 	9.717904e-01
54, 	3.479064e-01
55, 	1.986287e-01
56, 	1.563299e-01
57, 	3.799942e-01
58, 	5.775640e-02
59, 	8.793487e-02
60, 	7.874569e-01
61, 	5.292830e-02
62, 	4.500426e-01
63, 	7.549708e-01
64, 	5.583258e-01
65, 	6.202880e-02
66, 	5.875334e-01
67, 	8.395924e-01
68, 	2.658289e-01
69, 	1.979237e-01
70, 	4.575375e-01
71, 	8.954168e-01
72, 	6.885590e-01
73, 	6.957759e-01
74, 	5.911083e-01
75, 	7.679071e-01
76, 	2.809919e-01
77, 	3.268026e-01
78, 	5.145828e-01
79, 	8.436181e-01
80, 	6.266915e-01
81, 	6.688261e-01
82, 	7.499094e-01
83, 	8.705048e-01
84, 	4.505466e-01
85, 	2.521731e-01
86, 	4.740126e-01
87, 	2.872720e-02
88, 	7.153103e-01
89, 	9.482685e-01
90, 	7.686236e-01
91, 	6.548149e-01
92, 	2.617733e-01
93, 	5.575168e-01
94, 	2.611153e-01
95, 	9.431153e-01
96, 	9.406880e-01
97, 	3.526261e-01
98, 	6.853472e-01
99, 	2.844873e-02
100, 	8.447550e-02
101, 	9.413016e-01
102, 	7.466489e-01
103, 	5.011762e-01
104, 	3.876075e-01
105, 	2.957863e-01
106, 	2.010665e-01
107, 	4.582198e-01
108, 	6.730276e-01
109, 	8.801888e-01
110, 	9.316922e-01
111, 	9.614145e-01
112, 	8.484261e-01
113, 	4.321509e-01
114, 	4.393065e-01
115, 	8.568046e-01
116, 	9.574422e-01
117, 	1.844883e-01
118, 	6.865513e-01
119, 	3.300165e-02
120, 	7.102133e-01
121, 	7.438784e-01
122, 	4.404154e-01
123, 	7.479733e-01
124, 	6.367202e-01
125, 	6.998085e-01
126, 	3.081591e-01
127, 	8.022427e-02
128, 	5.974104e-01
129, 	9.658587e-01
130, 	7.937463e-01
131, 	2.363850e-01
132, 	6.216989e-01
133, 	1.906200e-01
134, 	3.403677e-01
135, 	7.825841e-01
136, 	7.352313e-01
137, 	8.707820e-02
138, 	4.768700e-01
139, 	7.905761e-01
140, 	9.344966e-01
141, 	5.956420e-01
142, 	6.991545e-01
143, 	2.268746e-01
144, 	1.265619e-01
145, 	8.498561e-01
146, 	2.927976e-01
147, 	9.249690e-01
148, 	9.741695e-01
149, 	7.938727e-01
150, 	4.833014e-01
151, 	5.709541e-01
152, 	5.137713e-01
153, 	5.046092e-01
154, 	3.589183e-02
155, 	1.457786e-01
156, 	6.821464e-01
157, 	9.400226e-01
158, 	8.268071e-01
159, 	5.911637e-01
160, 	8.713964e-01
161, 	2.600669e-01
162, 	3.218340e-01
163, 	7.502562e-01
164, 	8.465373e-01
165, 	5.483938e-01
166, 	9.744669e-01
